Fato;Categoria
Aborto com consentimento;Atos infracionais contra a Vida
Homicídio culposo;Atos infracionais contra a Vida
Homicídio doloso contra mulher - Feminicídio - (Violência doméstica) - Tentativa;Atos infracionais contra a Vida
Homicídio doloso - Nº de ocorrências - Tentativa;Atos infracionais contra a Vida
Homicídio doloso - Nº de vítimas;Atos infracionais contra a Vida
Homicídio doloso (Violência doméstica) - Nº de ocorrências - Tentativa;Atos infracionais contra a Vida
Homicídio doloso (Violência doméstica) - Nº de vítimas;Atos infracionais contra a Vida
Homicídio em decorrência de ação da Polícia Civil;Atos infracionais contra a Vida
Homicídio em decorrência de ação da Polícia Militar;Atos infracionais contra a Vida
Pessoa morta por Policial Militar em serviço;Atos infracionais contra a Vida
Pessoa morta em confronto por agente público em serviço;Atos infracionais contra a Vida
Homicídio culposo contra menor;Atos infracionais contra a Vida
Homicídio doloso contra homem - Tentativa;Atos infracionais contra a Vida
Tentativa de homicídio;Atos infracionais contra a Vida
Homicídio doloso contra menor - Tentativa;Atos infracionais contra a Vida
Homicídio;Atos infracionais contra a Vida
Induzimento, instigação ou auxílio a suicídio;Atos infracionais contra a Vida
Infanticídio;Atos infracionais contra a Vida
Aborto de gravidez resultante de estupro;Atos infracionais contra a Vida
Aborto de gravidez resultante de estupro;Atos infracionais contra a Vida
Aborto provocado pela gestante;Atos infracionais contra a Vida
Aborto sem consentimento;Atos infracionais contra a Vida
Art 124 a 128 do CP;Atos infracionais contra a Vida
Art 121 do CP;Atos infracionais contra a Vida
Art 121 do CP;Atos infracionais contra a Vida
Art 121 c/c Art 14, II do CP;Atos infracionais contra a Vida
Art 121 do CP;Atos infracionais contra a Vida
Art 121 c/c Art 14, II do CP;Atos infracionais contra a Vida
Art 121 do CP;Atos infracionais contra a Vida
Art 121 do CP;Atos infracionais contra a Vida
Art 121 do CP;Atos infracionais contra a Vida
Art 121 do CP;Atos infracionais contra a Vida
Art 121 do CP;Atos infracionais contra a Vida
Art 121 do CP;Atos infracionais contra a Vida
Art 121 c/c Art 14, II do CP;Atos infracionais contra a Vida
Art 121 c/c Art 14, II do CP;Atos infracionais contra a Vida
Art 121 c/c Art 14, II do CP;Atos infracionais contra a Vida
Art 121 do CP;Atos infracionais contra a Vida
Art 122 do CP;Atos infracionais contra a Vida
Art 123 do CP;Atos infracionais contra a Vida
Art 124 a 128 do CP;Atos infracionais contra a Vida
Art 124 a 128 do CP;Atos infracionais contra a Vida
Art 124 a 128 do CP;Atos infracionais contra a Vida
Art 124 a 128 do CP;Atos infracionais contra a Vida
Aborto;Atos infracionais contra a Vida
Homicídio;Atos infracionais contra a Vida
Feminicídio;Atos infracionais contra a Vida
Tentativa de Homicídio;Atos infracionais contra a Vida
Homicídio;Atos infracionais contra a Vida
Tentativa de Homicídio;Atos infracionais contra a Vida
Homicídio;Atos infracionais contra a Vida
Homicídio em decorrência de ação policial ou em decorrência de confronto com agente público em serviço;Atos infracionais contra a Vida
Homicídio em decorrência de ação policial ou em decorrência de confronto com agente público em serviço;Atos infracionais contra a Vida
Homicídio em decorrência de ação policial ou em decorrência de confronto com agente público em serviço;Atos infracionais contra a Vida
